iter	Passed	Remaining
863	7151	1125
864	7159	1117
865	7167	1109
866	7175	1100
867	7184	1092
868	7192	1084
869	7201	1076
870	7209	1067
871	7218	1059
872	7226	1051
873	7235	1043
874	7243	1034
875	7252	1026
876	7260	1018
877	7268	1010
878	7276	1001
879	7285	993
880	7293	985
881	7302	976
882	7311	968
883	7320	960
884	7330	952
885	7340	944
886	7350	936
887	7358	928
888	7369	920
889	7378	911
890	7387	903
891	7397	895
892	7406	887
893	7416	879
894	7427	871
895	7437	863
896	7449	855
897	7459	847
898	7471	839
899	7483	831
900	7496	823
901	7507	815
902	7519	807
903	7531	799
904	7542	791
905	7554	783
906	7567	775
907	7578	767
908	7589	759
909	7600	751
910	7611	743
911	7622	735
912	7633	727
913	7645	719
914	7654	711
915	7666	703
916	7676	694
917	7686	686
918	7698	678
919	7708	670
920	7719	662
921	7730	653
922	7741	645
923	7751	637
924	7762	629
925	7773	621
926	7783	612
927	7795	604
928	7805	596
929	7816	588
930	7827	580
931	7837	571
932	7848	563
933	7859	555
934	7868	547
935	7878	538
936	7888	530
937	7896	521
938	7906	513
939	7915	505
940	7925	496
941	7935	488
942	7945	480
943	7954	471
944	7963	463
945	7973	455
946	7982	446
947	7991	438
948	8000	429
949	8008	421
950	8017	413
951	8025	404
952	8034	396
953	8042	387
954	8051	379
955	8059	370
956	8068	362
957	8076	354
958	8086	345
959	8094	337
960	8104	328
961	8112	320
962	8120	312
963	8128	303
964	8136	295
965	8145	286
966	8153	278
967	8162	269
968	8170	261
969	8178	252
970	8186	244
971	8196	236
972	8204	227
973	8212	219
974	8221	210
975	8229	202
976	8238	193
977	8246	185
978	8254	177
979	8262	168
980	8271	160
981	8279	151
982	8287	143
983	8295	134
984	8304	126
985	8313	118
986	8321	109
987	8329	101
988	8339	92
989	8347	84
990	8356	75
991	8364	67
992	8372	59
993	8380	50
994	8389	42
995	8396	33
996	8405	25
997	8413	16
998	8422	8
999	8430	0
